protein_accession	gene_id	evalue	description
XP_021301638.1	8063419	4	protein ETHYLENE-INSENSITIVE 2 isoform X2 [Sorghum bicolor]
XP_002466612.2	8063419	4	protein ETHYLENE-INSENSITIVE 2 isoform X1 [Sorghum bicolor]
XP_021305975.1	8066392	5	DNA-binding protein RHL1 isoform X2 [Sorghum bicolor]
XP_002455265.1	8070406	5.2	nucleolin [Sorghum bicolor]
XP_002463260.1	8063542	5.6	peroxidase E5 [Sorghum bicolor]
XP_002457639.1	8074528	5.9	transcription factor MYB117 [Sorghum bicolor]
XP_021305974.1	8066392	6	DNA-binding protein RHL1 isoform X1 [Sorghum bicolor]
XP_021304934.1	110430961	6	uncharacterized protein LOC110430961 [Sorghum bicolor]
XP_002445718.1	8058017	6.5	uncharacterized protein LOC8058017 [Sorghum bicolor]
XP_021320929.1	8058017	6.5	uncharacterized protein LOC8058017 [Sorghum bicolor]
XP_021320930.1	8058017	6.5	uncharacterized protein LOC8058017 [Sorghum bicolor]
XP_021320931.1	8058017	6.5	uncharacterized protein LOC8058017 [Sorghum bicolor]
XP_021320932.1	8058017	6.5	uncharacterized protein LOC8058017 [Sorghum bicolor]
XP_002458391.2	8069780	6.9	uncharacterized protein LOC8069780 [Sorghum bicolor]
XP_002448619.1	8079556	7	beta-D-xylosidase 4 [Sorghum bicolor]
XP_002468435.1	8059822	7.2	pentatricopeptide repeat-containing protein At5g15300 [Sorghum bicolor]
XP_021301985.1	110429775	7.4	bZIP transcription factor 68-like [Sorghum bicolor]
XP_021301986.1	110429775	7.4	bZIP transcription factor 68-like [Sorghum bicolor]
XP_021302455.1	110429997	8	pentatricopeptide repeat-containing protein At4g14050, mitochondrial-like [Sorghum bicolor]
XP_021302456.1	110429997	8	pentatricopeptide repeat-containing protein At4g14050, mitochondrial-like [Sorghum bicolor]
XP_002450147.1	8067618	8.1	probable WRKY transcription factor 47 [Sorghum bicolor]
XP_002448822.2	8055465	8.2	peroxidase 10 [Sorghum bicolor]
XP_002439110.2	8066602	9	cysteine-rich repeat secretory protein 38 [Sorghum bicolor]
XP_002443678.1	8055388	10	ENHANCER OF AG-4 protein 2 [Sorghum bicolor]
